"filename", "language", "JavaScript", "JSON", "SQL", "HTTP", "Ruby", "Python", "comment", "blank", "total"
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\controller\customer.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 12, 68
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\controller\log.js", "JavaScript", 110, 0, 0, 0, 0, 0, 0, 24, 134
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\controller\login.js", "JavaScript", 155, 0, 0, 0, 0, 0, 2, 18, 175
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\controller\order.js", "JavaScript", 320, 0, 0, 0, 0, 0, 9, 93, 422
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\controller\participate.js", "JavaScript", 55, 0, 0, 0, 0, 0, 1, 16, 72
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\controller\stock.js", "JavaScript", 252, 0, 0, 0, 0, 0, 3, 22, 277
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\controller\user.js", "JavaScript", 881, 0, 0, 0, 0, 0, 8, 129, 1018
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\index.js", "JavaScript", 8, 0, 0, 0, 0, 0, 1, 4, 13
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\middleware\auth.js", "JavaScript", 36, 0, 0, 0, 0, 0, 2, 7, 45
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\middleware\errHandler.js", "JavaScript", 18, 0, 0, 0, 0, 0, 1, 4, 23
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\package-lock.json", "JSON", 0, 1491, 0, 0, 0, 0, 0, 1, 1492
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\package.json", "JSON", 0, 29, 0, 0, 0, 0, 0, 1, 30
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\route\activity.js", "JavaScript", 17, 0, 0, 0, 0, 0, 3, 8, 28
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\route\admin.js", "JavaScript", 189, 0, 0, 0, 0, 0, 3, 36, 228
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\route\authUtil.js", "JavaScript", 12, 0, 0, 0, 0, 0, 4, 5, 21
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\route\broker.js", "JavaScript", 33, 0, 0, 0, 0, 0, 8, 8, 49
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\route\corp.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 6, 32
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\route\customer.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 1, 5
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\route\login.js", "JavaScript", 66, 0, 0, 0, 0, 0, 6, 22, 94
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\route\logout.js", "JavaScript", 36, 0, 0, 0, 0, 0, 1, 10, 47
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\route\order.js", "JavaScript", 169, 0, 0, 0, 0, 0, 36, 34, 239
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\route\participate.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 4, 33
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\route\reg.js", "JavaScript", 25, 0, 0, 0, 0, 0, 6, 3, 34
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\route\stock.js", "JavaScript", 44, 0, 0, 0, 0, 0, 1, 6, 51
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\route\user.js", "JavaScript", 186, 0, 0, 0, 0, 0, 6, 52, 244
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\testClient.http", "HTTP", 0, 0, 0, 4, 0, 0, 0, 0, 4
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\util\HttpStatus.js", "JavaScript", 66, 0, 0, 0, 0, 0, 0, 5, 71
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\util\fields.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 1, 13
"d:\OG D drive\Level 2 Term 2\CSE 216\Projects\DB-Project\util\validation.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 7, 34
"Total", "-", 3512, 1520, 26978, 4, 19, 50, 185, 1181, 33449
